Job_Title,Roles,Recruitment_Count,Province,Company_Location,Current_Employee_Min,Current_Employee_Max,Language,Tech_Stack,Programming_Language,Skills,Total_Work_Hour,Salary_Min,Salary_Max,First_Working_Day_Of_Week,Last_Working_Day_Of_Week,Work_On_Saturday,Work_On_Sunday,Experience_Years,Deadline,Company_Name,Company_Industry,Job_Level,Academic_Level,Job_Type,Company_URL,Job_URL,Date_Crawl,Layout_Type
Kỹ Sư Triển Khai Dự Án Hệ Thống (Postsale System),"['CÔNG NGHỆ THÔNG TIN', 'IT INFRASTRUCTURE AND OPERATIONS', 'SYSTEM ENGINEER', 'VIỆC LÀM IT']",10,"['HÀ NỘI', 'HỒ CHÍ MINH']",['HÀ NỘI'],500.0,1000.0,"['TIẾNG VIỆT', 'TIẾNG ANH']","['VMWARE', 'CITRIX', 'HYPER-V', 'HPE', 'IBM', 'DELL EMC', 'ACTIVE DIRECTORY', 'DNS', 'MAIL SERVER', 'PROXY', 'SAN', 'NAS', 'NETAPP', 'HP', 'FUJITSU', 'EMC', 'CLOUD', 'ORACLE', 'VMWARE CERTIFIED ASSOCIATE (VCA)', 'MCSA', 'NETWORKING', 'WINDOWS SERVER', 'LINUX', 'UNIX', 'DHCP', 'DATABASE', 'BACKUP', 'MICROSOFT WORD', 'MICROSOFT EXCEL', 'MICROSOFT POWERPOINT']",['SQL'],"['GIÁM SÁT THI CÔNG', 'QUẢN LÝ DỰ ÁN', 'VIẾT TÀI LIỆU KỸ THUẬT', 'TƯ VẤN GIẢI PHÁP', 'XỬ LÝ SỰ CỐ', 'QUẢN TRỊ HỆ THỐNG', 'BẢO TRÌ HỆ THỐNG', 'NGHIÊN CỨU SẢN PHẨM', 'ĐỌC HIỂU TÀI LIỆU KỸ THUẬT', 'GIAO TIẾP', 'GIẢI QUYẾT VẤN ĐỀ', 'TRIỂN KHAI PHẦN MỀM', 'KIẾN THỨC VỀ HỆ THỐNG', 'TRUNG THỰC', 'NĂNG ĐỘNG', 'NHIỆT TÌNH', 'CHỊU KHÓ', 'HÒA ĐỒNG', 'TINH THẦN TRÁCH NHIỆM']",45.0,20000000.0,40000000.0,2,6,False,False,2 năm,31/01/2026,Công ty Cổ phần Hệ thống Công nghệ ETC,IT - Phần mềm,Nhân viên,Cao Đẳng trở lên,Toàn thời gian,https://www.topcv.vn/cong-ty/cong-ty-co-phan-he-thong-cong-nghe-etc/200939.html,https://www.topcv.vn/viec-lam/ky-su-trien-khai-du-an-he-thong-postsale-system-thu-nhap-upto-40tr/1949543.html?ta_source=JobSearchList_LinkDetail&u_sr_id=vhbFIo4GqaZLKyp8jn9Cn4VEepc9rh4hVUZWiqL6_1765095807,09/12/2025 13:13:17,standard
Nhân Viên Tư Vấn Phát Triển Phần Mềm,"['KINH DOANH/BÁN HÀNG', 'MARKETING/PR/QUẢNG CÁO', 'SALES DỊCH VỤ QUẢNG CÁO/TRIỂN LÃM/SỰ KIỆN', 'MARKETING', 'SALES MARKETING']",8,['HỒ CHÍ MINH'],['HỒ CHÍ MINH'],1000.0,,['TIẾNG VIỆT'],"['WEBSITE', 'PHẦN MỀM BÁN HÀNG', 'PHẦN MỀM VĂN PHÒNG', 'PHẦN MỀM QUẢN LÝ TÀI LIỆU', 'HỆ THỐNG EMAIL', 'MẠNG LƯỚI', 'QUẢN LÝ WEBSITE']",,"['TƯ VẤN KHÁCH HÀNG', 'KÝ KẾT HỢP ĐỒNG', 'XÂY DỰNG MỐI QUAN HỆ', 'CHĂM SÓC KHÁCH HÀNG', 'GIAO TIẾP', 'KINH DOANH PHẦN MỀM', 'KIẾN THỨC VỀ CÔNG NGHỆ THÔNG TIN', 'HIỂU BIẾT VỀ THỊ TRƯỜDNG CÔNG NGHỆ THÔNG TIN', 'AM HIỂU VỀ CÁC GIẢI PHÁP CÔNG NGHỆ THÔNG TIN']",49.0,10000000.0,25000000.0,2,6,True,False,Không yêu cầu,02/01/2026,CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM NASANI,Internet / Online,Nhân viên,Trung cấp trở lên,Toàn thời gian,https://www.topcv.vn/cong-ty/cong-ty-tnhh-cong-nghe-phan-mem-nasani/233549.html,https://www.topcv.vn/viec-lam/nhan-vien-tu-van-phat-trien-phan-mem-hcm-thu-nhap-len-den-25tr-thang/1971777.html?ta_source=JobSearchList_LinkDetail&u_sr_id=vhbFIo4GqaZLKyp8jn9Cn4VEepc9rh4hVUZWiqL6_1765095807,09/12/2025 13:13:28,standard
Nhân Viên Kinh Doanh/Sale/Tư Vấn Bán Hàng (Máy In),"['KINH DOANH/BÁN HÀNG', 'CÔNG NGHỆ THÔNG TIN', 'SALES KỸ THUẬT (SALES ENGINEER)', 'CÔNG NGHỆ THÔNG TIN KHÁC', 'BÁN HÀNG KỸ THUẬT IT', 'VIỆC LÀM IT']",2,['HỒ CHÍ MINH'],['HỒ CHÍ MINH'],25.0,99.0,['TIẾNG VIỆT'],['EXCEL'],,"['KỸ NĂNG GIAO TIẾP', 'KỸ NĂNG LÀM VIỆC NHÓM', 'QUẢN TRỊ KINH DOANH', 'MARKETING']",,8000000.0,12000000.0,,,False,False,Dưới 1 năm,02/01/2026,CÔNG TY CP THIẾT BỊ CÔNG NGHIỆP HUỲNH LONG,Cơ khí,Nhân viên,Trung cấp trở lên,Toàn thời gian,https://www.topcv.vn/cong-ty/cong-ty-cp-thiet-bi-cong-nghiep-huynh-long/105523.html,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-sale-tu-van-ban-hangmay-inluong-cung-12tr-hoa-hong-nhan-viec-ngay/1971328.html?ta_source=JobSearchList_LinkDetail&u_sr_id=vhbFIo4GqaZLKyp8jn9Cn4VEepc9rh4hVUZWiqL6_1765095807,09/12/2025 13:13:41,standard
Business Analyst,"['CÔNG NGHỆ THÔNG TIN', 'PRODUCT MANAGEMENT', 'BUSINESS ANALYST (PHÂN TÍCH NGHIỆP VỤ)', 'VIỆC LÀM IT']",1,['HÀ NỘI'],['HÀ NỘI'],25.0,99.0,"['TIẾNG VIỆT', 'TIẾNG ANH']","['CYBER SECURITY', 'DATA MODELING', 'MOCKUPS', 'PROTOTYPES', 'AGILE', 'UX/UI', 'DESIGN THINKING', 'TOÁN - TIN', 'KHOA HỌC MÁY TÍNH']",,"['PHÂN TÍCH NGHIỆP VỤ', 'PHÂN TÍCH DỮ LIỆU', 'TƯ DUY LOGIC', 'KỸ NĂNG VIẾT', 'KỸ NĂNG TRÌNH BÀY', 'PHÂN TÍCH TRẢI NGHIỆM KHÁCH HÀNG', 'THIẾT KẾ HỆ THỐNG', 'GIAO TIẾP', 'PHỐI HỢP ĐA PHÒNG BAN', 'LÀM VIỆC NHÓM', 'CHỊU ĐƯỢC ÁP LỰC CAO', 'GIẢI QUYẾT VẤN ĐỀ', 'VIẾT TÀI LIỆU']",50.0,25000000.0,30000000.0,2,6,False,False,3 năm,27/12/2025,CÔNG TY CỔ PHẦN CÔNG NGHỆ THÔNG MINH GX,IT - Phần mềm,Nhân viên,Đại Học trở lên,Toàn thời gian,https://www.topcv.vn/cong-ty/cong-ty-co-phan-cong-nghe-thong-minh-gx/243568.html,https://www.topcv.vn/viec-lam/business-analyst-tu-3-nam-kinh-nghiem-thu-nhap-upto-30m-tai-ha-noi/1966948.html?ta_source=JobSearchList_LinkDetail&u_sr_id=vhbFIo4GqaZLKyp8jn9Cn4VEepc9rh4hVUZWiqL6_1765095807,09/12/2025 13:13:50,standard
Nhân Viên Kinh Doanh Phần Mềm Erp/ Sales Erp,"['KINH DOANH/BÁN HÀNG', 'CÔNG NGHỆ THÔNG TIN', 'SALES IT PHẦN MỀM', 'KINH DOANH PHẦN MỀM', 'VIỆC LÀM IT']",1,['HỒ CHÍ MINH'],['HỒ CHÍ MINH'],25.0,99.0,"['TIẾNG VIỆT', 'TIẾNG TRUNG', 'TIẾNG ANH']","['ERP', 'CRM']",,"['XÂY DỰNG MỐI QUAN HỆ', 'GIAO TIẾP', 'PHÂN TÍCH NGHIỆP VỤ', 'THUYẾT TRÌNH', 'ĐÀM PHÁN KINH DOANH', 'CHỊU ĐƯỢC ÁP LỰC', 'KHẢ NĂNG HỌC HỎI NHANH']",45.0,30000000.0,60000000.0,2,6,False,False,3 năm,01/01/2026,CÔNG TY TNHH KINGDEE INTERNATIONAL SOFTWARE GROUP (VIETNAM),IT - Phần mềm,Nhân viên,Cao Đẳng trở lên,Toàn thời gian,https://www.topcv.vn/cong-ty/cong-ty-tnhh-kingdee-international-software-group-vietnam/237459.html,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-phan-mem-erp-sales-erp-thu-nhap-cao-upto-30-60-trieu-nhan-viec-ngay-tai-quan-7/1891406.html?ta_source=JobSearchList_LinkDetail&u_sr_id=vhbFIo4GqaZLKyp8jn9Cn4VEepc9rh4hVUZWiqL6_1765095807,09/12/2025 13:14:03,standard
AI/Robotics Engineer,"['CÔNG NGHỆ THÔNG TIN', 'ARTIFICIAL INTELLIGENCE (AI)', 'AI ENGINEER', 'VIỆC LÀM IT']",2,['HỒ CHÍ MINH'],['HỒ CHÍ MINH'],10.0,24.0,"['TIẾNG VIỆT', 'TIẾNG ANH']","['ROS2', 'NAVIGATION', 'SLAM', 'SENSOR FUSION', 'CONTROL', 'IMAGE PROCESSING', 'MACHINE VISION', 'IMAGE RECOGNITION', 'MACHINE LEARNING', 'DEEP LEARNING', 'OBJECT DETECTION', 'CLASSIFICATION', 'SEGMENTATION', 'CAMERA', 'LIDAR', 'IMU', 'ROS', 'OPENCV', 'TENSORFLOW', 'PYTORCH', 'COMPUTER VISION', 'TRACKING', 'MOTION PLANNING', 'NVIDIA JETSON', 'CUDA', 'AI ACCELERATION', 'DOCKER', 'LINUX', 'CI/CD', 'AGV', 'AMR', 'ROBOTIC ARMS', 'GITHUB', 'ROBOTICS']","['PYTHON', 'C++']","['CODE REVIEW', 'TECHNICAL DOCUMENTATION']",45.0,,,2,6,False,False,1 năm,04/01/2026,CÔNG TY TNHH SHINNICHIRO VIỆT NAM,IT - Phần mềm,Nhân viên,Đại Học trở lên,Toàn thời gian,https://www.topcv.vn/cong-ty/cong-ty-tnhh-shinnichiro-viet-nam/222910.html,https://www.topcv.vn/viec-lam/ai-robotics-engineer/1974897.html?ta_source=JobSearchList_LinkDetail&u_sr_id=vhbFIo4GqaZLKyp8jn9Cn4VEepc9rh4hVUZWiqL6_1765095807,09/12/2025 13:14:14,standard
Network Engineer (Triển Khai),"['CÔNG NGHỆ THÔNG TIN', 'IT INFRASTRUCTURE AND OPERATIONS', 'NETWORK ENGINEER', 'VIỆC LÀM IT']",1,['HỒ CHÍ MINH'],['HỒ CHÍ MINH'],10.0,24.0,['TIẾNG VIỆT'],"['SERVER', 'VMWARE VSPHERE', 'HYPER-V', 'PROXMOX', 'STORAGE', 'SAN', 'NAS', 'NETWORK', 'CISCO', 'ARUBA', 'HPE', 'FORTINET', 'SECURITY', 'FIREWALL', 'WAF', 'VPN', 'NAC', 'IPS/IDS', 'LOAD BALANCER', 'MICROSOFT INFRASTRUCTURE', 'ACTIVE DIRECTORY', 'DNS', 'DHCP', 'NPS', 'FILE SERVICES', 'EXCHANGE', 'O365 HYBRID', 'VIRTUALIZATION', 'BACKUP', 'VMWARE', 'VEEAM', 'SRM', 'DRS', 'HA', 'REPLICATION', 'MONITORING', 'LOGGING', 'LIBRENMS', 'ZABBIX', 'GRAFANA', 'SPLUNK', 'SYSLOG', 'SNMP', 'TCP/IP', 'VLAN', 'ROUTING', 'SWITCHING', 'VCENTER', 'VSAN', 'ISCSI', 'FIBRE CHANNEL', 'DR']",,"['PHÂN TÍCH SỰ CỐ', 'ĐỌC HIỂU LOG', 'TỐI ƯU HIỆU NĂNG', 'LÀM VIỆC NHÓM', 'KỸ NĂNG VIẾT VÀ TRÌNH BÀY TÀI LIỆU KỸ THUẬT', 'TƯ DUY HỆ THỐNG', 'CHỦ ĐỘNG TỔ CHỨC, SẮP XẾP CÔNG VIỆC', 'THUYẾT TRÌNH']",54.0,,25000000.0,2,6,True,False,5 năm,05/01/2026,CÔNG TY TNHH GIẢI PHÁP DỮ LIỆU SÁNG TẠO,IT - Phần mềm,Quản lý / Giám sát,Cao Đẳng trở lên,Toàn thời gian,https://www.topcv.vn/cong-ty/cong-ty-tnhh-giai-phap-du-lieu-sang-tao/108485.html,https://www.topcv.vn/viec-lam/network-engineer-trien-khai/1975191.html?ta_source=JobSearchList_LinkDetail&u_sr_id=vhbFIo4GqaZLKyp8jn9Cn4VEepc9rh4hVUZWiqL6_1765095807,09/12/2025 13:14:27,standard
Intern QC,"['CÔNG NGHỆ THÔNG TIN', 'SOFTWARE TESTING', 'MANUAL TESTER', 'VIỆC LÀM IT']",1,['HỒ CHÍ MINH'],['HỒ CHÍ MINH'],100.0,499.0,"['TIẾNG VIỆT', 'TIẾNG NHẬT']","['BUG TRACKING SYSTEMS', 'SOFTWARE TESTING']",,"['ANALYTICAL SKILLS', 'PROBLEM-SOLVING SKILLS', 'INDEPENDENT WORK', 'TEAMWORK', 'TEST CASE CREATION', 'JAPANESE N4', 'COMMUNICATION SKILLS', 'WORKING UNDER PRESSURE', 'BASIC KNOWLEDGE OF QUALITY', 'COLLABORATION']",45.0,4500000.0,6900000.0,2,6,False,False,Không yêu cầu,28/12/2025,CÔNG TY TNHH ISB VIỆT NAM,IT - Phần mềm,Thực tập sinh,Cao Đẳng trở lên,Toàn thời gian,https://www.topcv.vn/cong-ty/cong-ty-tnhh-isb-viet-nam/114323.html,https://www.topcv.vn/viec-lam/intern-qc-japanese-n4/1967453.html?ta_source=JobSearchList_LinkDetail&u_sr_id=vhbFIo4GqaZLKyp8jn9Cn4VEepc9rh4hVUZWiqL6_1765095807,09/12/2025 13:14:38,standard
Product Manager,"['CÔNG NGHỆ THÔNG TIN', 'PRODUCT MANAGEMENT', 'PRODUCT OWNER/PRODUCT MANAGER', 'VIỆC LÀM IT']",3,['HÀ NỘI'],['HÀ NỘI'],25.0,99.0,"['TIẾNG VIỆT', 'TIẾNG ANH']",,,"['KỸ NĂNG GIAO TIẾP', 'KỸ NĂNG ĐÀM PHÁN', 'KỸ NĂNG XÂY DỰNG KẾ HOẠCH', 'KỸ NĂNG HOẠCH ĐỊNH CHIẾN LƯỢC', 'KỸ NĂNG NẮM BẮT THÔNG TIN THỊ TRƯỜNG', 'KỸ NĂNG QUẢN LÝ NHÂN SỰ', 'TINH THẦN TRÁCH NHIỆM', 'CHỊU ĐƯỢC ÁP LỰC CÔNG VIỆC', 'TIẾNG ANH', 'QUẢN LÝ NHÂN VIÊN', 'LẬP KẾ HOẠCH KINH DOANH', 'ĐÀO TẠO', 'BÁN HÀNG', 'MARKETING']",,15000000.0,25000000.0,,,False,False,3 năm,01/01/2026,Công ty Cổ phần Tập đoàn IDC,IT - Phần mềm,Nhân viên,Đại Học trở lên,Toàn thời gian,https://www.topcv.vn/cong-ty/cong-ty-co-phan-tap-doan-idc/16532.html,https://www.topcv.vn/viec-lam/product-manager/1969894.html?ta_source=JobSearchList_LinkDetail&u_sr_id=vhbFIo4GqaZLKyp8jn9Cn4VEepc9rh4hVUZWiqL6_1765095807,09/12/2025 13:14:52,standard
Nhân Viên Kinh Doanh Cntt,"['KINH DOANH/BÁN HÀNG', 'CÔNG NGHỆ THÔNG TIN', 'SALES KỸ THUẬT (SALES ENGINEER)', 'CÔNG NGHỆ THÔNG TIN KHÁC', 'BÁN HÀNG KỸ THUẬT IT', 'VIỆC LÀM IT']",5,"['HỒ CHÍ MINH', 'HÀ NỘI', 'HẢI PHÒNG']",['HỒ CHÍ MINH'],25.0,99.0,['TIẾNG VIỆT'],"['SYSTEM INTEGRATION', 'PROJECT MANAGEMENT', 'B2B', 'EXCEL', 'WORD']",,"['KỸ NĂNG GIAO TIẾP', 'LÀM VIỆC NHÓM', 'TÌM KIẾM KHÁCH HÀNG', 'ĐÀM PHÁN', 'CHỐT SALES', 'XÂY DỰNG MỐI QUAN HỆ', 'KIẾN THỨC VỀ CNTT', 'LÀM VIỆC ĐỘC LẬP', 'SÁNG TẠO', 'KỸ NĂNG BÁN HÀNG', 'VI TÍNH VĂN PHÒNG']",49.0,,,2,6,True,False,1 năm,31/01/2026,CÔNG TY CỔ PHẦN CÔNG NGHỆ DTG,IT - Phần mềm,Nhân viên,Trung cấp trở lên,Toàn thời gian,https://www.topcv.vn/cong-ty/cong-ty-co-phan-cong-nghe-dtg/28745.html,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-cntt/1973321.html?ta_source=JobSearchList_LinkDetail&u_sr_id=vhbFIo4GqaZLKyp8jn9Cn4VEepc9rh4hVUZWiqL6_1765095807,09/12/2025 13:15:06,standard
