JOB_TITLE,ROLE_NAME,RECRUITMENT_COUNT,LOCATIONS_NAME,COMPANY_LOCATION,CURRENT_EMPLOYEE_MIN,CURRENT_EMPLOYEE_MAX,LANGUAGES_NAME,TECH_STACKS,PROGRAMMING_LANGUAGES,SKILLS,TOTAL_WORK_HOURS,SALARY_MIN,SALARY_MAX,FIRST_WORKING_DAY_OF_WEEK,LAST_WORKING_DAY_OF_WEEK,WORK_ON_SATURDAY,WORK_ON_SUNDAY,EXPERIENCE_YEARS,DEADLINE,COMPANY_NAME,COMPANY_INDUSTRY,JOB_LEVEL,ACADEMIC_LEVEL,JOB_TYPE,COMPANY_URL,JOB_URL,DATE_CRAWL,LAYOUT_TYPE
KỸ SƯ TRIỂN KHAI DỰ ÁN HỆ THỐNG (POSTSALE SYSTEM),"['VIỆC LÀM IT', 'IT INFRASTRUCTURE AND OPERATIONS', 'CÔNG NGHỆ THÔNG TIN', 'SYSTEM ENGINEER']",10,"['HỒ CHÍ MINH', 'HÀ NỘI']",['HÀ NỘI'],500.0,1000.0,"['TIẾNG VIỆT', 'TIẾNG ANH']","['HPE', 'VMWARE', 'MICROSOFT POWERPOINT', 'NAS', 'NETWORKING CONCEPTS', 'ORACLE DATABASE', 'PROXY', 'DELL EMC', 'VMWARE CERTIFIED ASSOCIATE (VCA)', 'WINDOWS', 'NETAPP', 'LINUX', 'DHCP', 'MICROSOFT WORD', 'EMC', 'MICROSOFT EXCEL', 'CLOUD COMPUTING', 'HYPER-V', 'HP', 'SAN', 'ACTIVE DIRECTORY', 'BACKUP', 'DNS', 'MCSA', 'CITRIX', 'IBM', 'FUJITSU', 'UNIX', 'MAIL SERVER', 'DATABASE CONCEPTS']",['SQL'],"['XỬ LÝ SỰ CỐ', 'GIÁM SÁT THI CÔNG', 'GIAO TIẾP', 'TRUNG THỰC', 'KIẾN THỨC VỀ HỆ THỐNG', 'TƯ VẤN GIẢI PHÁP', 'TRIỂN KHAI PHẦN MỀM', 'GIẢI QUYẾT VẤN ĐỀ', 'HÒA ĐỒNG', 'TINH THẦN TRÁCH NHIỆM', 'NĂNG ĐỘNG', 'NHIỆT TÌNH', 'NGHIÊN CỨU SẢN PHẨM', 'ĐỌC HIỂU TÀI LIỆU KỸ THUẬT', 'QUẢN TRỊ HỆ THỐNG', 'QUẢN LÝ DỰ ÁN', 'BẢO TRÌ HỆ THỐNG', 'VIẾT TÀI LIỆU KỸ THUẬT', 'CHỊU KHÓ']",45.0,20000000.0,40000000.0,2,6,False,False,2 NĂM,31/01/2026,CÔNG TY CỔ PHẦN HỆ THỐNG CÔNG NGHỆ ETC,IT - PHẦN MỀM,NHÂN VIÊN,CAO ĐẲNG TRỞ LÊN,TOÀN THỜI GIAN,https://www.topcv.vn/cong-ty/cong-ty-co-phan-he-thong-cong-nghe-etc/200939.html,https://www.topcv.vn/viec-lam/ky-su-trien-khai-du-an-he-thong-postsale-system-thu-nhap-upto-40tr/1949543.html?ta_source=JobSearchList_LinkDetail&u_sr_id=vhbFIo4GqaZLKyp8jn9Cn4VEepc9rh4hVUZWiqL6_1765095807,09/12/2025 13:13:17,STANDARD
NHÂN VIÊN TƯ VẤN PHÁT TRIỂN PHẦN MỀM,"['SALES MARKETING', 'MARKETING', 'MARKETING/PR/QUẢNG CÁO', 'KINH DOANH/BÁN HÀNG', 'SALES DỊCH VỤ QUẢNG CÁO/TRIỂN LÃM/SỰ KIỆN']",8,['HỒ CHÍ MINH'],['HỒ CHÍ MINH'],1000.0,-1.0,['TIẾNG VIỆT'],"['WEBSITE', 'QUẢN LÝ WEBSITE', 'MẠNG LƯỚI', 'PHẦN MỀM BÁN HÀNG', 'HỆ THỐNG EMAIL', 'PHẦN MỀM QUẢN LÝ TÀI LIỆU', 'PHẦN MỀM VĂN PHÒNG']",['UNKNOWN'],"['CHĂM SÓC KHÁCH HÀNG', 'KIẾN THỨC VỀ CÔNG NGHỆ THÔNG TIN', 'KINH DOANH PHẦN MỀM', 'KÝ KẾT HỢP ĐỒNG', 'AM HIỂU VỀ CÁC GIẢI PHÁP CÔNG NGHỆ THÔNG TIN', 'TƯ VẤN KHÁCH HÀNG', 'GIAO TIẾP', 'HIỂU BIẾT VỀ THỊ TRƯỜDNG CÔNG NGHỆ THÔNG TIN', 'XÂY DỰNG MỐI QUAN HỆ']",49.0,10000000.0,25000000.0,2,6,True,False,KHÔNG YÊU CẦU,02/01/2026,CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM NASANI,INTERNET / ONLINE,NHÂN VIÊN,TRUNG CẤP TRỞ LÊN,TOÀN THỜI GIAN,https://www.topcv.vn/cong-ty/cong-ty-tnhh-cong-nghe-phan-mem-nasani/233549.html,https://www.topcv.vn/viec-lam/nhan-vien-tu-van-phat-trien-phan-mem-hcm-thu-nhap-len-den-25tr-thang/1971777.html?ta_source=JobSearchList_LinkDetail&u_sr_id=vhbFIo4GqaZLKyp8jn9Cn4VEepc9rh4hVUZWiqL6_1765095807,09/12/2025 13:13:28,STANDARD
NHÂN VIÊN KINH DOANH/SALE/TƯ VẤN BÁN HÀNG (MÁY IN),"['CÔNG NGHỆ THÔNG TIN KHÁC', 'VIỆC LÀM IT', 'CÔNG NGHỆ THÔNG TIN', 'SALES KỸ THUẬT (SALES ENGINEER)', 'KINH DOANH/BÁN HÀNG', 'BÁN HÀNG KỸ THUẬT IT']",2,['HỒ CHÍ MINH'],['HỒ CHÍ MINH'],25.0,99.0,['TIẾNG VIỆT'],['EXCEL'],['UNKNOWN'],"['KỸ NĂNG GIAO TIẾP', 'QUẢN TRỊ KINH DOANH', 'MARKETING', 'KỸ NĂNG LÀM VIỆC NHÓM']",47.5,8000000.0,12000000.0,2,6,False,False,DƯỚI 1 NĂM,02/01/2026,CÔNG TY CP THIẾT BỊ CÔNG NGHIỆP HUỲNH LONG,CƠ KHÍ,NHÂN VIÊN,TRUNG CẤP TRỞ LÊN,TOÀN THỜI GIAN,https://www.topcv.vn/cong-ty/cong-ty-cp-thiet-bi-cong-nghiep-huynh-long/105523.html,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-sale-tu-van-ban-hangmay-inluong-cung-12tr-hoa-hong-nhan-viec-ngay/1971328.html?ta_source=JobSearchList_LinkDetail&u_sr_id=vhbFIo4GqaZLKyp8jn9Cn4VEepc9rh4hVUZWiqL6_1765095807,09/12/2025 13:13:41,STANDARD
BUSINESS ANALYST,"['BUSINESS ANALYST (PHÂN TÍCH NGHIỆP VỤ)', 'CÔNG NGHỆ THÔNG TIN', 'PRODUCT MANAGEMENT', 'VIỆC LÀM IT']",1,['HÀ NỘI'],['HÀ NỘI'],25.0,99.0,"['TIẾNG VIỆT', 'TIẾNG ANH']","['AGILE', 'CYBERSECURITY', 'KHOA HỌC MÁY TÍNH', 'DATA MODELING', 'DESIGN THINKING', 'PROTOTYPES', 'MOCKUPS', 'TOÁN - TIN', 'UI/UX DESIGN']",['UNKNOWN'],"['KỸ NĂNG TRÌNH BÀY', 'CHỊU ĐƯỢC ÁP LỰC CAO', 'PHÂN TÍCH DỮ LIỆU', 'PHÂN TÍCH TRẢI NGHIỆM KHÁCH HÀNG', 'VIẾT TÀI LIỆU', 'GIẢI QUYẾT VẤN ĐỀ', 'TƯ DUY LOGIC', 'PHÂN TÍCH NGHIỆP VỤ', 'KỸ NĂNG VIẾT', 'THIẾT KẾ HỆ THỐNG', 'PHỐI HỢP ĐA PHÒNG BAN', 'GIAO TIẾP', 'LÀM VIỆC NHÓM']",50.0,25000000.0,30000000.0,2,6,False,False,3 NĂM,27/12/2025,CÔNG TY CỔ PHẦN CÔNG NGHỆ THÔNG MINH GX,IT - PHẦN MỀM,NHÂN VIÊN,ĐẠI HỌC TRỞ LÊN,TOÀN THỜI GIAN,https://www.topcv.vn/cong-ty/cong-ty-co-phan-cong-nghe-thong-minh-gx/243568.html,https://www.topcv.vn/viec-lam/business-analyst-tu-3-nam-kinh-nghiem-thu-nhap-upto-30m-tai-ha-noi/1966948.html?ta_source=JobSearchList_LinkDetail&u_sr_id=vhbFIo4GqaZLKyp8jn9Cn4VEepc9rh4hVUZWiqL6_1765095807,09/12/2025 13:13:50,STANDARD
NHÂN VIÊN KINH DOANH PHẦN MỀM ERP/ SALES ERP,"['VIỆC LÀM IT', 'KINH DOANH PHẦN MỀM', 'SALES IT PHẦN MỀM', 'CÔNG NGHỆ THÔNG TIN', 'KINH DOANH/BÁN HÀNG']",1,['HỒ CHÍ MINH'],['HỒ CHÍ MINH'],25.0,99.0,"['TIẾNG VIỆT', 'TIẾNG TRUNG', 'TIẾNG ANH']","['CRM', 'ERP']",['UNKNOWN'],"['ĐÀM PHÁN KINH DOANH', 'THUYẾT TRÌNH', 'PHÂN TÍCH NGHIỆP VỤ', 'KHẢ NĂNG HỌC HỎI NHANH', 'GIAO TIẾP', 'CHỊU ĐƯỢC ÁP LỰC', 'XÂY DỰNG MỐI QUAN HỆ']",45.0,30000000.0,60000000.0,2,6,False,False,3 NĂM,01/01/2026,CÔNG TY TNHH KINGDEE INTERNATIONAL SOFTWARE GROUP (VIETNAM),IT - PHẦN MỀM,NHÂN VIÊN,CAO ĐẲNG TRỞ LÊN,TOÀN THỜI GIAN,https://www.topcv.vn/cong-ty/cong-ty-tnhh-kingdee-international-software-group-vietnam/237459.html,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-phan-mem-erp-sales-erp-thu-nhap-cao-upto-30-60-trieu-nhan-viec-ngay-tai-quan-7/1891406.html?ta_source=JobSearchList_LinkDetail&u_sr_id=vhbFIo4GqaZLKyp8jn9Cn4VEepc9rh4hVUZWiqL6_1765095807,09/12/2025 13:14:03,STANDARD
AI/ROBOTICS ENGINEER,"['ARTIFICIAL INTELLIGENCE (AI)', 'CÔNG NGHỆ THÔNG TIN', 'AI ENGINEER', 'VIỆC LÀM IT']",2,['HỒ CHÍ MINH'],['HỒ CHÍ MINH'],10.0,24.0,"['TIẾNG VIỆT', 'TIẾNG ANH']","['CLASSIFICATION', 'DOCKER', 'NVIDIA JETSON', 'LIDAR', 'SEGMENTATION', 'CAMERA', 'CONTROL', 'TRACKING', 'IMU', 'ROBOTIC ARMS', 'MACHINE VISION', 'NAVIGATION', 'AI ACCELERATION', 'GITHUB', 'LINUX', 'PYTORCH', 'SENSOR FUSION', 'CUDA', 'SLAM', 'TENSORFLOW', 'AGV', 'MOTION PLANNING', 'IMAGE RECOGNITION', 'ROS2', 'CI/CD', 'ROS', 'ROBOTICS', 'MACHINE LEARNING', 'DEEP LEARNING', 'COMPUTER VISION', 'AMR']","['PYTHON', 'C++']","['TECHNICAL DOCUMENTATION', 'CODE REVIEW']",45.0,14000000.0,26875000.0,2,6,False,False,1 NĂM,04/01/2026,CÔNG TY TNHH SHINNICHIRO VIỆT NAM,IT - PHẦN MỀM,NHÂN VIÊN,ĐẠI HỌC TRỞ LÊN,TOÀN THỜI GIAN,https://www.topcv.vn/cong-ty/cong-ty-tnhh-shinnichiro-viet-nam/222910.html,https://www.topcv.vn/viec-lam/ai-robotics-engineer/1974897.html?ta_source=JobSearchList_LinkDetail&u_sr_id=vhbFIo4GqaZLKyp8jn9Cn4VEepc9rh4hVUZWiqL6_1765095807,09/12/2025 13:14:14,STANDARD
NETWORK ENGINEER (TRIỂN KHAI),"['IT INFRASTRUCTURE AND OPERATIONS', 'CÔNG NGHỆ THÔNG TIN', 'NETWORK ENGINEER', 'VIỆC LÀM IT']",1,['HỒ CHÍ MINH'],['HỒ CHÍ MINH'],10.0,24.0,['TIẾNG VIỆT'],"['HPE', 'VMWARE', 'ROUTING', 'NAS', 'NETWORKING CONCEPTS', 'SRM', 'CISCO', 'VCENTER', 'LOAD BALANCE', 'EXCHANGE', 'REPLICATION', 'SNMP', 'FILE SERVICES', 'VPN', 'ISCSI', 'ARUBA', 'GRAFANA', 'IPS/IDS', 'LIBRENMS', 'DHCP', 'DR', 'NAC', 'FORTINET', 'SWITCHING', 'HYPER-V', 'LOGGING', 'NPS', 'SAN', 'PHẦN CỨNG MÁY TÍNH', 'TCP', 'VSPHERE', 'FIBRE CHANNEL', 'MICROSOFT INFRASTRUCTURE', 'ACTIVE DIRECTORY', 'HA', 'BACKUP', 'DNS', 'ZABBIX', 'FIREWALLS', 'SYSLOG', 'DRS', 'IP', 'CYBERSECURITY', 'VSAN', 'MONITORING', 'SPLUNK', 'STORAGE', 'VEEAM', 'PROXMOX', 'VLAN', 'O365 HYBRID']",['UNKNOWN'],"['KỸ NĂNG VIẾT VÀ TRÌNH BÀY TÀI LIỆU KỸ THUẬT', 'ĐỌC HIỂU LOG', 'THUYẾT TRÌNH', 'CHỦ ĐỘNG TỔ CHỨC, SẮP XẾP CÔNG VIỆC', 'TƯ DUY HỆ THỐNG', 'PHÂN TÍCH SỰ CỐ', 'TỐI ƯU HIỆU NĂNG', 'LÀM VIỆC NHÓM']",54.0,13812500.0,25000000.0,2,6,True,False,5 NĂM,05/01/2026,CÔNG TY TNHH GIẢI PHÁP DỮ LIỆU SÁNG TẠO,IT - PHẦN MỀM,QUẢN LÝ / GIÁM SÁT,CAO ĐẲNG TRỞ LÊN,TOÀN THỜI GIAN,https://www.topcv.vn/cong-ty/cong-ty-tnhh-giai-phap-du-lieu-sang-tao/108485.html,https://www.topcv.vn/viec-lam/network-engineer-trien-khai/1975191.html?ta_source=JobSearchList_LinkDetail&u_sr_id=vhbFIo4GqaZLKyp8jn9Cn4VEepc9rh4hVUZWiqL6_1765095807,09/12/2025 13:14:27,STANDARD
INTERN QC,"['VIỆC LÀM IT', 'SOFTWARE TESTING', 'CÔNG NGHỆ THÔNG TIN', 'MANUAL TESTER']",1,['HỒ CHÍ MINH'],['HỒ CHÍ MINH'],100.0,499.0,"['TIẾNG VIỆT', 'TIẾNG NHẬT']","['SOFTWARE TESTING', 'BUG TRACKING SYSTEMS']",['UNKNOWN'],"['JAPANESE N4', 'COMMUNICATION SKILLS', 'TEST CASE CREATION', 'WORKING UNDER PRESSURE', 'PROBLEM-SOLVING SKILLS', 'TEAMWORK', 'ANALYTICAL SKILLS', 'INDEPENDENT WORK', 'COLLABORATION', 'BASIC KNOWLEDGE OF QUALITY']",45.0,4500000.0,6900000.0,2,6,False,False,KHÔNG YÊU CẦU,28/12/2025,CÔNG TY TNHH ISB VIỆT NAM,IT - PHẦN MỀM,THỰC TẬP SINH,CAO ĐẲNG TRỞ LÊN,TOÀN THỜI GIAN,https://www.topcv.vn/cong-ty/cong-ty-tnhh-isb-viet-nam/114323.html,https://www.topcv.vn/viec-lam/intern-qc-japanese-n4/1967453.html?ta_source=JobSearchList_LinkDetail&u_sr_id=vhbFIo4GqaZLKyp8jn9Cn4VEepc9rh4hVUZWiqL6_1765095807,09/12/2025 13:14:38,STANDARD
PRODUCT MANAGER,"['PRODUCT OWNER/PRODUCT MANAGER', 'CÔNG NGHỆ THÔNG TIN', 'PRODUCT MANAGEMENT', 'VIỆC LÀM IT']",3,['HÀ NỘI'],['HÀ NỘI'],25.0,99.0,"['TIẾNG VIỆT', 'TIẾNG ANH']",['UNKNOWN'],['UNKNOWN'],"['KỸ NĂNG QUẢN LÝ NHÂN SỰ', 'BÁN HÀNG', 'KỸ NĂNG NẮM BẮT THÔNG TIN THỊ TRƯỜNG', 'KỸ NĂNG XÂY DỰNG KẾ HOẠCH', 'KỸ NĂNG HOẠCH ĐỊNH CHIẾN LƯỢC', 'QUẢN LÝ NHÂN VIÊN', 'ĐÀO TẠO', 'MARKETING', 'CHỊU ĐƯỢC ÁP LỰC CÔNG VIỆC', 'LẬP KẾ HOẠCH KINH DOANH', 'TIẾNG ANH', 'KỸ NĂNG GIAO TIẾP', 'TINH THẦN TRÁCH NHIỆM', 'KỸ NĂNG ĐÀM PHÁN']",47.5,15000000.0,25000000.0,2,6,False,False,3 NĂM,01/01/2026,CÔNG TY CỔ PHẦN TẬP ĐOÀN IDC,IT - PHẦN MỀM,NHÂN VIÊN,ĐẠI HỌC TRỞ LÊN,TOÀN THỜI GIAN,https://www.topcv.vn/cong-ty/cong-ty-co-phan-tap-doan-idc/16532.html,https://www.topcv.vn/viec-lam/product-manager/1969894.html?ta_source=JobSearchList_LinkDetail&u_sr_id=vhbFIo4GqaZLKyp8jn9Cn4VEepc9rh4hVUZWiqL6_1765095807,09/12/2025 13:14:52,STANDARD
NHÂN VIÊN KINH DOANH CNTT,"['CÔNG NGHỆ THÔNG TIN KHÁC', 'VIỆC LÀM IT', 'CÔNG NGHỆ THÔNG TIN', 'SALES KỸ THUẬT (SALES ENGINEER)', 'KINH DOANH/BÁN HÀNG', 'BÁN HÀNG KỸ THUẬT IT']",5,"['HẢI PHÒNG', 'HÀ NỘI', 'HỒ CHÍ MINH']",['HỒ CHÍ MINH'],25.0,99.0,['TIẾNG VIỆT'],"['EXCEL', 'WORD', 'SYSTEM INTEGRATION', 'B2B', 'PROJECT MANAGEMENT']",['UNKNOWN'],"['KIẾN THỨC VỀ CNTT', 'LÀM VIỆC ĐỘC LẬP', 'TÌM KIẾM KHÁCH HÀNG', 'KỸ NĂNG BÁN HÀNG', 'VI TÍNH VĂN PHÒNG', 'CHỐT SALES', 'ĐÀM PHÁN', 'KỸ NĂNG GIAO TIẾP', 'LÀM VIỆC NHÓM', 'SÁNG TẠO', 'XÂY DỰNG MỐI QUAN HỆ']",49.0,10333333.333333334,20833333.333333332,2,6,True,False,1 NĂM,31/01/2026,CÔNG TY CỔ PHẦN CÔNG NGHỆ DTG,IT - PHẦN MỀM,NHÂN VIÊN,TRUNG CẤP TRỞ LÊN,TOÀN THỜI GIAN,https://www.topcv.vn/cong-ty/cong-ty-co-phan-cong-nghe-dtg/28745.html,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-cntt/1973321.html?ta_source=JobSearchList_LinkDetail&u_sr_id=vhbFIo4GqaZLKyp8jn9Cn4VEepc9rh4hVUZWiqL6_1765095807,09/12/2025 13:15:06,STANDARD
