Job_Title,Tech_Stack,Programming_Language,Roles,Recruitment_Count,Province,Company_Location,Current_Employee_Min,Current_Employee_Max,Language,Skills,Total_Work_Hour,Salary_Min,Salary_Max,First_Working_Day_Of_Week,Last_Working_Day_Of_Week,Work_On_Saturday,Work_On_Sunday
Product Manager,[],[],"['CÔNG NGHỆ THÔNG TIN', 'PRODUCT MANAGEMENT', 'PRODUCT OWNER/PRODUCT MANAGER', 'VIỆC LÀM IT']",3,['HÀ NỘI'],['HÀ NỘI'],25.0,99.0,"['TIẾNG VIỆT', 'TIẾNG ANH']","['TINH THẦN TRÁCH NHIỆM', 'KỸ NĂNG ĐÀM PHÁN', 'KỸ NĂNG GIAO TIẾP', 'CHỊU ĐƯỢC ÁP LỰC CÔNG VIỆC', 'KỸ NĂNG QUẢN LÝ NHÂN SỰ', 'KỸ NĂNG HOẠCH ĐỊNH CHIẾN LƯỢC', 'KỸ NĂNG XÂY DỰNG KẾ HOẠCH', 'KỸ NĂNG NẮM BẮT THÔNG TIN THỊ TRƯỜNG']",,15000000.0,25000000.0,,,,
Nhân Viên IT Kiêm Tư Vấn & Đào Tạo,"['STEM', 'ROBOTICS', 'NETWORKING', 'ZOOM', 'WEB ADMINISTRATION', 'LANDING PAGE', 'IOT', 'WORDPRESS', 'MICROSOFT', 'GOOGLE', 'AI']",['HTML'],"['CÔNG NGHỆ THÔNG TIN', 'CÔNG NGHỆ THÔNG TIN KHÁC', 'CHUYÊN MÔN CÔNG NGHỆ THÔNG TIN KHÁC', 'VIỆC LÀM IT']",1,['HÀ NỘI'],['HÀ NỘI'],25.0,99.0,['TIẾNG VIỆT'],"['KỸ NĂNG GIAO TIẾP', 'TƯ VẤN', 'ĐÀO TẠO', 'TỔ CHỨC SỰ KIỆN', 'GIẢNG DẠY', 'HỖ TRỢ KỸ THUẬT']",45.0,15000000.0,20000000.0,2.0,6.0,False,False
Nhân Viên Kinh Doanh Phần Mềm Erp/ Sales Erp,"['ERP', 'CRM', 'FINANCE', 'SUPPLY CHAIN']",[],"['KINH DOANH/BÁN HÀNG', 'CÔNG NGHỆ THÔNG TIN', 'SALES IT PHẦN MỀM', 'KINH DOANH PHẦN MỀM', 'VIỆC LÀM IT']",1,['HỒ CHÍ MINH'],['HỒ CHÍ MINH'],25.0,99.0,"['TIẾNG VIỆT', 'TIẾNG TRUNG', 'TIẾNG ANH']","['XÂY DỰNG MỐI QUAN HỆ', 'GIAO TIẾP', 'KỸ NĂNG THUYẾT TRÌNH', 'KỸ NĂNG ĐÀM PHÁN', 'ĐỊNH HƯỚNG MỤC TIÊU', 'CHỊU ĐƯỢC ÁP LỰC', 'KHẢ NĂNG HỌC HỎI NHANH', 'PHÂN TÍCH NGHIỆP VỤ']",45.0,30000000.0,60000000.0,2.0,6.0,False,False
Product Design Leader,"['FINTECH', 'IOT', 'FIGMA', 'ADOBE CREATIVE SUITE', 'USER-CENTERED DESIGN', 'AGILE', 'SCRUM']",[],"['CÔNG NGHỆ THÔNG TIN', 'THIẾT KẾ', 'SOFTWARE DESIGN', 'THIẾT KẾ ĐỒ HOẠ/GIAO DIỆN/TRẢI NGHIỆM', 'UI/UX DESIGN', 'VIỆC LÀM IT']",1,['HỒ CHÍ MINH'],['HỒ CHÍ MINH'],25.0,99.0,"['TIẾNG VIỆT', 'TIẾNG ANH']","['PRODUCT DESIGN', 'DESIGN LEADERSHIP', 'COMPLEX PROBLEM-SOLVING', 'CREATIVE DIRECTION', 'TEAM MANAGEMENT', 'USER-CENTERED DESIGN (UCD)', 'COMMUNICATION', 'PRESENTATION SKILLS', 'RECRUITING', 'BUILDING DESIGN TEAMS', 'PRODUCT MANAGEMENT', 'LEADERSHIP', 'STRATEGY', 'MENTOR', 'COACH', 'PRODUCT THINKING', 'USER EXPERIENCE', 'USER INTERFACE', 'DESIGN SYSTEM']",45.0,,,2.0,6.0,False,False
AI/Robotics Engineer,"['ROS', 'NAVIGATION', 'SLAM', 'SENSOR FUSION', 'CONTROL', 'IMAGE PROCESSING', 'MACHINE VISION', 'IMAGE RECOGNITION', 'MACHINE LEARNING', 'DEEP LEARNING', 'OBJECT DETECTION', 'CLASSIFICATION', 'SEGMENTATION', 'AI', 'ROBOTICS', 'CAMERA', 'LIDAR', 'IMU', 'OPENCV', 'TENSORFLOW', 'PYTORCH', 'COMPUTER VISION', 'MOTION PLANNING', 'NVIDIA JETSON', 'CUDA', 'AI ACCELERATION', 'DOCKER', 'LINUX', 'CI/CD', 'AGV', 'AMR', 'ROBOTIC ARMS', 'GITHUB']","['PYTHON', 'C++']","['CÔNG NGHỆ THÔNG TIN', 'ARTIFICIAL INTELLIGENCE (AI)', 'AI ENGINEER', 'VIỆC LÀM IT']",2,['HỒ CHÍ MINH'],['HỒ CHÍ MINH'],10.0,24.0,"['TIẾNG VIỆT', 'TIẾNG ANH']","['TECHNICAL DOCUMENTATION', 'CODE REVIEWS', 'COLLABORATION', 'READ AND UNDERSTAND TECHNICAL DOCUMENTS']",45.0,,,2.0,6.0,False,False
Nhân Viên Kinh Doanh/Sale/Tư Vấn Bán Hàng (Máy In),"['PDCA', 'EXCEL']",[],"['KINH DOANH/BÁN HÀNG', 'CÔNG NGHỆ THÔNG TIN', 'SALES KỸ THUẬT (SALES ENGINEER)', 'CÔNG NGHỆ THÔNG TIN KHÁC', 'BÁN HÀNG KỸ THUẬT IT', 'VIỆC LÀM IT']",2,['HỒ CHÍ MINH'],['HỒ CHÍ MINH'],25.0,99.0,['TIẾNG VIỆT'],"['QUẢN TRỊ KINH DOANH', 'KINH TẾ', 'MARKETING', 'KỸ NĂNG GIAO TIẾP', 'KỸ NĂNG LÀM VIỆC NHÓM']",,8000000.0,12000000.0,,,,
Business Analyst,"['CYBER SECURITY', 'DATA MODELING', 'MOCKUPS', 'PROTOTYPES', 'COMPUTER SCIENCE', 'MATHEMATICS', 'INFORMATICS', 'AGILE', 'UX/UI', 'DESIGN THINKING']",[],"['CÔNG NGHỆ THÔNG TIN', 'PRODUCT MANAGEMENT', 'BUSINESS ANALYST (PHÂN TÍCH NGHIỆP VỤ)', 'VIỆC LÀM IT']",1,['HÀ NỘI'],['HÀ NỘI'],25.0,99.0,"['TIẾNG VIỆT', 'TIẾNG ANH']","['PHÂN TÍCH NGHIỆP VỤ', 'PHÂN TÍCH DỮ LIỆU', 'GIẢI QUYẾT VẤN ĐỀ', 'GIAO TIẾP', 'LÀM VIỆC NHÓM', 'VIẾT TÀI LIỆU', 'TƯ DUY LOGIC', 'KỸ NĂNG TRÌNH BÀY', 'PHÂN TÍCH TRẢI NGHIỆM KHÁCH HÀNG', 'THIẾT KẾ HỆ THỐNG', 'KỸ NĂNG PHỐI HỢP', 'CHỊU ĐƯỢC ÁP LỰC CAO']",50.0,25000000.0,30000000.0,2.0,6.0,False,False
Java Developer,"['SPRING', 'SPRING BOOT', 'POSTGRESQL', 'REDIS', 'RESTFUL APIS', 'ORACLE', 'MS SQL SERVER', 'MICROSERVICE', 'CLOUD COMPUTING', 'AZURE', 'AWS', 'AGILE', 'OOP']","['JAVA', 'SQL']","['CÔNG NGHỆ THÔNG TIN', 'CÔNG NGHỆ THÔNG TIN KHÁC', 'CHUYÊN MÔN CÔNG NGHỆ THÔNG TIN KHÁC', 'VIỆC LÀM IT']",10,['HỒ CHÍ MINH'],['HÀ NỘI'],10000.0,,"['TIẾNG VIỆT', 'TIẾNG ANH']","['ENGLISH COMMUNICATION', 'LEADERSHIP', 'COLLABORATION', 'BUSINESS ANALYSIS', 'DESIGN', 'DEVELOPMENT', 'TESTING', 'COACHING', 'CODE REVIEW']",45.0,,,2.0,6.0,False,False
Chuyên Viên Công Nghệ Thông Tin (Chuyển Đổi Số),"['WINDOWS SERVER', 'DATABASE', 'POWER BI', 'DIAGRAM', 'DIGITAL TRANSFORMATION', 'AUTOMATION', 'IT INFRASTRUCTURE']",['SQL'],"['CÔNG NGHỆ THÔNG TIN', 'IT INFRASTRUCTURE AND OPERATIONS', 'KỸ THUẬT IT', 'VIỆC LÀM IT']",1,['BẮC NINH'],['BẮC NINH'],100.0,499.0,['TIẾNG VIỆT'],"['BUSINESS ANALYSIS', 'KỸ NĂNG TRÌNH BÀY BÁO CÁO', 'CẦU TIẾN', 'KỈ LUẬT', 'TRÁCH NHIỆM', 'NHIỆT TÌNH', 'CHĂM CHỈ', 'NHẠY BÉN', 'TRUNG THỰC']",54.0,15000000.0,20000000.0,2.0,6.0,True,False
Nhân Viên Tư Vấn Phát Triển Phần Mềm,['WEBSITE'],[],"['KINH DOANH/BÁN HÀNG', 'MARKETING/PR/QUẢNG CÁO', 'SALES DỊCH VỤ QUẢNG CÁO/TRIỂN LÃM/SỰ KIỆN', 'MARKETING', 'SALES MARKETING']",8,['HỒ CHÍ MINH'],['HỒ CHÍ MINH'],1000.0,,['TIẾNG VIỆT'],"['KỸ NĂNG GIAO TIẾP', 'CHĂM SÓC KHÁCH HÀNG', 'XÂY DỰNG MỐI QUAN HỆ', 'KINH DOANH PHẦN MỀM', 'QUẢN LÝ WEBSITE', 'HIỂU BIẾT VỀ THỊ TRƯỜNG CÔNG NGHỆ THÔNG TIN', 'AM HIỂU VỀ CÁC GIẢI PHÁP CÔNG NGHỆ THÔNG TIN']",49.0,10000000.0,25000000.0,2.0,6.0,True,False
Nhân Viên Kinh Doanh Cntt,"['SYSTEM INTEGRATION', 'PROJECT MANAGEMENT', 'B2B', 'EXCEL', 'WORD']",[],"['KINH DOANH/BÁN HÀNG', 'CÔNG NGHỆ THÔNG TIN', 'SALES KỸ THUẬT (SALES ENGINEER)', 'CÔNG NGHỆ THÔNG TIN KHÁC', 'BÁN HÀNG KỸ THUẬT IT', 'VIỆC LÀM IT']",5,"['HỒ CHÍ MINH', 'HÀ NỘI', 'HẢI PHÒNG']",['HỒ CHÍ MINH'],25.0,99.0,['TIẾNG VIỆT'],"['KINH DOANH', 'TƯ VẤN', 'BÁN HÀNG', 'ĐÀM PHÁN', 'QUẢN LÝ DỰ ÁN', 'KỸ NĂNG BÁN HÀNG', 'KỸ NĂNG SỬ DỤNG VI TÍNH VĂN PHÒNG', 'GIAO TIẾP', 'SÁNG TẠO', 'LÀM VIỆC CHỦ ĐỘNG', 'LÀM VIỆC ĐỘC LẬP', 'LÀM VIỆC THEO NHÓM', 'TÌM KIẾM KHÁCH HÀNG', 'XÂY DỰNG MỐI QUAN HỆ', 'CHỐT SALES', 'KIẾN THỨC VỀ CNTT']",49.0,,,2.0,6.0,True,False
Intern Qc,"['SOFTWARE TESTING', 'MANUAL TESTER', 'BUG TRACKING SYSTEMS', 'TEST PLANNING', 'TEST CASES']",[],"['CÔNG NGHỆ THÔNG TIN', 'SOFTWARE TESTING', 'MANUAL TESTER', 'VIỆC LÀM IT']",1,['HỒ CHÍ MINH'],['HỒ CHÍ MINH'],100.0,499.0,"['TIẾNG VIỆT', 'TIẾNG NHẬT', 'TIẾNG ANH']","['ANALYTICAL SKILLS', 'PROBLEM-SOLVING SKILLS', 'INDEPENDENT WORK', 'TEAMWORK', 'COMMUNICATION SKILLS', 'WORK UNDER PRESSURE', 'JAPANESE N4']",45.0,4500000.0,6900000.0,2.0,6.0,False,False
PM Dự Án/Quản Lý Dự Án,"['PMP', 'PGMP', 'AGILE', 'SAFE', 'LESS', 'ITIL']",[],"['PROJECT MANAGER', 'CÔNG NGHỆ THÔNG TIN', 'CÔNG NGHỆ THÔNG TIN KHÁC', 'CHUYÊN MÔN CÔNG NGHỆ THÔNG TIN KHÁC', 'VIỆC LÀM IT']",4,"['HỒ CHÍ MINH', 'HÀ NỘI']",['HỒ CHÍ MINH'],100.0,499.0,['TIẾNG VIỆT'],"['QUẢN LÝ DỰ ÁN', 'TUYỂN DỤNG', 'PHÁT TRIỂN CON NGƯỜI', 'ĐÀO TẠO', 'TRUYỀN CẢM HỨNG', 'GIAO TIẾP', 'GIẢI QUYẾT VẤN ĐỀ', 'HOẠCH ĐỊNH VÀ QUẢN LÝ CHƯƠNG TRÌNH', 'QUẢN LÝ DANH MỤC', 'ƯU TIÊN HÓA VÀ CÂN ĐỐI NGUỒN LỰC', 'QUẢN LÝ TÀI CHÍNH', 'PHÂN TÍCH CHI PHÍ', 'QUẢN LÝ RỦI RO', 'BÁO CÁO', 'PHÁT TRIỂN LÃNH ĐẠO', 'XÂY DỰNG VĂN HÓA', 'KỸ NĂNG LÃNH ĐẠO', 'ĐÀM PHÁN', 'QUẢN LÝ HIỆU SUẤT', 'QUẢN TRỊ QUY TRÌNH', 'QUẢN LÝ THAY ĐỔI', 'KIỂM TOÁN', 'THƯƠNG LƯỢNG', 'TƯ DUY CHIẾN LƯỢC', 'PHÂN TÍCH DỮ LIỆU KINH DOANH', 'BUSINESS ACUMEN', 'TƯ DUY HỆ THỐNG', 'CỐ VẤN', 'TẠO ĐỘNG LỰC']",49.0,35000000.0,50000000.0,2.0,6.0,True,False
AI Engineer,"['AI', 'YOLO', 'DEEPSORT', 'POSE DETECTION', 'TENSORFLOW', 'PYTORCH', 'KALMAN FILTER', 'COMPUTER VISION', 'CNN', 'OPENCV', 'ONNX', 'POSE ESTIMATION', 'MULTI-OBJECT TRACKING']","['PYTHON', 'C++']","['CÔNG NGHỆ THÔNG TIN', 'ARTIFICIAL INTELLIGENCE (AI)', 'AI ENGINEER', 'VIỆC LÀM IT']",1,['HÀ NỘI'],['HÀ NỘI'],25.0,99.0,['TIẾNG VIỆT'],"['KỸ NĂNG GIẢI QUYẾT VẤN ĐỀ', 'TƯ DUY LOGIC', 'KỸ NĂNG HỢP TÁC', 'KỸ NĂNG GIAO TIẾP']",45.0,,,2.0,6.0,False,False
